,title,release_date,colored,genre,language,country,rating,lead_actor,director_name,lead_actor_fb_likes,cast_fb_likes,director_fb_likes,movie_fb_likes,imdb_score,total_reviews,duration,revenue_eur,budget_eur
25,Dr. No,1962-11-27,True,Action,English,United Kingdom,Approved,Ursula Andress,Terence Young,650.0,1421,92,5000,7.3,184.0,110.0,17893017.42858734,1225012.5285372236
26,Lawrence of Arabia,1962-11-10,True,Adventure,English,United Kingdom,PG,Claude Rains,David Lean,607.0,1076,767,11000,8.4,181.0,227.0,6681886.519293947,16704716.298234869
27,Cleopatra,1963-12-14,True,Biography,English,United Kingdom,Approved,Martin Landau,Joseph L. Mankiewicz,940.0,2957,311,0,7.0,72.0,251.0,64313157.748204246,34651149.8413052
28,From Russia with Love,1963-11-24,True,Action,English,United Kingdom,Approved,Robert Shaw,Terence Young,559.0,1456,92,0,7.5,167.0,115.0,27618464.279748317,2227295.506431316
29,"It's a Mad, Mad, Mad, Mad World",1963-11-27,True,Action,English,United States of America,Approved,Jonathan Winters,Stanley Kramer,924.0,4109,176,0,7.6,61.0,197.0,37972607.23365865,7709341.425408021
30,A Fistful of Dollars,1964-01-13,True,Action,Italian,Italy,R,Clint Eastwood,Sergio Leone,16000.0,16534,0,0,8.0,122.0,99.0,3500000.0,200000.0
31,A Hard Day's Night,1964-05-22,False,Comedy,English,United Kingdom,Approved,Paul McCartney,Richard Lester,785.0,2538,44,0,7.7,105.0,87.0,573534.1611448299,623642.7418007684
32,Goldfinger,1964-05-29,True,Action,English,United Kingdom,Approved,Honor Blackman,Guy Hamilton,387.0,1198,82,0,7.8,164.0,110.0,56907400.18932012,3340943.2596469736
33,Mary Poppins,1964-03-21,True,Comedy,English,United States of America,Approved,Ed Wynn,Robert Stevenson,382.0,2045,55,0,7.8,145.0,139.0,83900598.70417452,4920856.228983843
34,My Fair Lady,1964-07-15,True,Drama,English,United States of America,Approved,Jeremy Brett,George Cukor,453.0,1164,165,0,7.9,82.0,170.0,59050274.74780611,13942425.982120888
35,Nothing But a Man,1964-09-04,False,Drama,English,United States of America,Unrated,Yaphet Kotto,Michael Roemer,581.0,835,0,363,8.1,24.0,95.0,10200.934962683506,131222.83277290247
36,Doctor Zhivago,1965-06-29,True,Drama,English,United States of America,PG-13,Julie Christie,David Lean,597.0,1966,767,7000,8.0,89.0,200.0,91627983.2690888,9021569.753137045
37,Major Dundee,1965-11-25,True,Adventure,English,United States of America,Approved,James Coburn,Sam Peckinpah,773.0,2888,541,251,6.8,53.0,152.0,12197.982448946115,3116542.278356434
38,The Greatest Story Ever Told,1965-04-18,True,Biography,English,United States of America,G,Martin Landau,George Stevens,940.0,1934,126,1000,6.6,27.0,225.0,6561141.638645124,16402854.09661281
39,The Sound of Music,1965-07-18,True,Biography,English,United States of America,G,Eleanor Parker,Robert Wise,354.0,1495,338,15000,8.0,119.0,174.0,133859005.98704173,6725170.179611252
40,Thunderball,1965-04-28,True,Action,English,United Kingdom,Approved,Desmond Llewelyn,Terence Young,244.0,1164,92,0,7.0,129.0,130.0,70827997.10451584,10022829.778940922
41,"The Good, the Bad and the Ugly",1966-06-25,True,Western,Italian,Italy,Approved,Clint Eastwood,Sergio Leone,16000.0,16089,0,20000,8.9,181.0,142.0,6100000.0,1200000.0
42,You Only Live Twice,1967-02-23,True,Action,English,United Kingdom,Approved,Donald Pleasence,Lewis Gilbert,742.0,2127,43,0,6.9,130.0,117.0,47998218.16359486,10579653.65554875
43,2001: A Space Odyssey,1968-12-07,True,Adventure,English,United Kingdom,G,Keir Dullea,Stanley Kubrick,273.0,727,0,24000,8.3,285.0,161.0,63160945.48694248,13363773.038587894
44,Oliver!,1968-08-19,True,Drama,English,United Kingdom,G,Oliver Reed,Carol Reed,695.0,1593,82,0,7.5,56.0,153.0,18709282.254023053,11136477.53215658
45,Butch Cassidy and the Sundance Kid,1969-11-25,True,Biography,English,United States of America,PG,Katharine Ross,George Roy Hill,640.0,2169,131,0,8.1,130.0,110.0,83907897.97424752,4920856.228983843
46,Mississippi Mermaid,1969-10-13,True,Crime,French,France,R,Catherine Deneuve,FranÃ§ois Truffaut,963.0,1694,0,278,7.2,35.0,123.0,26893.0,1600000.0
47,On Her Majesty's Secret Service,1969-01-30,True,Action,English,United Kingdom,PG,Telly Savalas,Peter R. Hunt,803.0,1769,13,0,6.8,143.0,142.0,25391168.773317,7795534.272509606
48,Beyond the Valley of the Dolls,1970-04-16,True,Comedy,English,United States of America,NC-17,Charles Napier,Russ Meyer,503.0,731,199,0,6.2,101.0,109.0,7381284.343475764,738128.4343475763
49,Darling Lili,1970-11-16,True,Comedy,English,United States of America,G,Rock Hudson,Blake Edwards,638.0,788,688,104,6.2,22.0,143.0,4100713.5241532023,20503567.62076601
50,Tora! Tora! Tora!,1970-06-23,True,Action,English,Japan,G,Joseph Cotten,Richard Fleischer,469.0,1548,130,0,7.5,79.0,160.0,114733.34388352589,197816.11014401016
51,Woodstock,1970-08-25,True,Documentary,English,United States of America,R,Joe Cocker,Michael Wadleigh,262.0,778,14,0,8.1,53.0,215.0,10907897.974247517,492085.6228983843
52,Diamonds Are Forever,1971-03-09,True,Action,English,United Kingdom,PG,Desmond Llewelyn,Guy Hamilton,244.0,1105,82,0,6.7,120.0,120.0,48777771.590845816,8018263.823152737
53,Fiddler on the Roof,1971-12-04,True,Drama,English,United States of America,G,Topol,Norman Jewison,402.0,934,278,0,8.0,66.0,181.0,41007135.24153202,7381284.343475764
54,Pink Narcissus,1971-05-30,True,Drama,English,United States of America,Unrated,Don Brooks,James Bidgood,0.0,0,0,85,6.7,8.0,65.0,6750.5946034610015,22143.853030427294
55,Sweet Sweetback's Baadasssss Song,1971-03-05,True,Crime,English,United States of America,R,John Amos,Melvin Van Peebles,982.0,1631,101,566,5.5,38.0,97.0,12449766.259329122,410071.35241532023
56,Pink Flamingos,1972-06-16,True,Comedy,English,United States of America,NC-17,Divine,John Waters,462.0,760,0,0,6.1,73.0,108.0,148021.81579594847,8201.427048306405
57,The Godfather,1972-02-22,True,Crime,English,United States of America,R,Al Pacino,Francis Ford Coppola,14000.0,28122,0,43000,9.2,208.0,175.0,110573240.38382678,4920856.228983843
58,American Graffiti,1973-06-13,True,Comedy,English,United States of America,PG,Harrison Ford,George Lucas,11000.0,14954,0,0,7.5,100.0,112.0,94316411.05552365,637250.8816534076
59,Live and Let Die,1973-09-08,True,Action,English,United Kingdom,PG,Yaphet Kotto,Guy Hamilton,581.0,1865,82,0,6.8,136.0,121.0,39423130.46383429,7795534.272509606
60,Mean Streets,1973-10-30,True,Crime,English,United States of America,R,Robert De Niro,Martin Scorsese,22000.0,23737,17000,0,7.4,112.0,112.0,26773.558599196258,410071.35241532023
61,The Exorcist,1973-11-18,True,Horror,English,United States of America,R,Ellen Burstyn,William Friedkin,1000.0,2466,607,18000,8.0,304.0,132.0,167772492.41367996,6561141.638645124
62,The Sting,1973-04-09,True,Comedy,English,United States of America,PG,Eileen Brennan,George Roy Hill,1000.0,2387,131,0,8.3,119.0,129.0,130894775.69097021,4510784.876568522
63,Benji,1974-08-21,True,Adventure,English,United States of America,G,Frances Bavier,Joe Camp,407.0,1090,24,816,6.1,5.0,86.0,32438776.347084388,410071.35241532023
64,Blazing Saddles,1974-01-03,True,Comedy,English,United States of America,R,Madeline Kahn,Mel Brooks,1000.0,4701,0,12000,7.8,121.0,93.0,98007053.22726153,2132371.0325596654
65,The Godfather: Part II,1974-04-13,True,Crime,English,United States of America,R,Robert De Niro,Francis Ford Coppola,22000.0,39960,0,14000,9.0,149.0,220.0,46994176.9867957,10661855.162798326
66,The Man with the Golden Gun,1974-02-28,True,Action,English,United Kingdom,PG,Christopher Lee,Guy Hamilton,16000.0,17611,82,2000,6.8,118.0,125.0,23386602.817528814,14477420.791803552
67,The Texas Chain Saw Massacre,1974-12-04,True,Horror,English,United States of America,R,Gunnar Hansen,Tobe Hooper,383.0,1094,365,0,7.5,277.0,88.0,25308783.728368733,68508.16041991305
68,Young Frankenstein,1974-06-17,False,Comedy,English,United States of America,PG,Madeline Kahn,Mel Brooks,1000.0,2703,0,14000,8.0,129.0,106.0,70778315.42688426,2296399.5735257934
69,Jaws,1975-02-16,True,Adventure,English,United States of America,PG,Roy Scheider,Steven Spielberg,813.0,2047,14000,21000,8.0,385.0,130.0,213237103.2559665,6561141.638645124
70,Monty Python and the Holy Grail,1975-06-21,True,Adventure,English,United Kingdom,PG,Eric Idle,Terry Gilliam,795.0,2158,0,14000,8.3,131.0,91.0,1368892.477309427,255665.68294448467
71,One Flew Over the Cuckoo's Nest,1975-05-30,True,Drama,English,United States of America,R,Scatman Crothers,Milos Forman,888.0,2176,869,32000,8.7,149.0,133.0,91855982.94103172,3608627.901254818
72,Logan's Run,1976-05-10,True,Action,English,United States of America,PG,Farrah Fawcett,Michael Anderson,1000.0,2951,23,0,6.8,112.0,119.0,20503567.62076601,7381284.343475764
73,Rocky,1976-11-16,True,Drama,English,United States of America,PG,Sylvester Stallone,John G. Avildsen,13000.0,16094,80,0,8.1,141.0,145.0,96149632.57606822,787336.9966374148
74,A Bridge Too Far,1977-08-21,False,Drama,English,United States of America,PG,Ryan O'Neal,Richard Attenborough,385.0,669,0,0,7.4,56.0,175.0,41663249.405396536,21323710.325596653
75,Annie Hall,1977-05-17,True,Comedy,English,United States of America,PG,Woody Allen,Woody Allen,11000.0,12691,11000,0,8.1,154.0,93.0,32149594.029361106,3280570.819322562
76,Close Encounters of the Third Kind,1977-11-12,True,Drama,English,United States of America,PG,Bob Balaban,Steven Spielberg,559.0,1591,14000,0,7.7,171.0,135.0,105224309.02977116,15911481.997867627
77,Kingdom of the Spiders,1977-02-01,True,Horror,English,United States of America,PG,Woody Strode,John 'Bud' Cardos,423.0,516,8,0,5.9,95.0,97.0,13942425.982120888,410071.35241532023
78,March or Die,1977-05-28,True,Adventure,English,United Kingdom,PG,Catherine Deneuve,Dick Richards,963.0,2209,6,122,6.3,6.0,107.0,1113647.753215658,10022829.778940922
79,Star Wars: Episode IV - A New Hope,1977-07-02,True,Action,English,United States of America,PG,Harrison Ford,George Lucas,11000.0,13485,0,33000,8.7,282.0,125.0,378033023.04600996,9021569.753137045
80,The Spy Who Loved Me,1977-01-08,True,Action,English,United Kingdom,PG,Caroline Munro,Lewis Gilbert,456.0,1326,43,0,7.1,112.0,123.0,52118714.85049279,15591068.545019211
81,Animal House,1978-06-09,True,Comedy,English,United States of America,R,John Belushi,John Landis,1000.0,3468,644,0,7.6,94.0,109.0,116132207.0040187,2460428.1144919214
82,Caravans,1978-04-17,True,Action,English,Iran,PG,Christopher Lee,James Fargo,16000.0,17250,109,76,6.5,2.0,127.0,19.0,266.0
83,Grease,1978-08-18,True,Musical,English,United States of America,PG-13,Olivia Newton-John,Randal Kleiser,1000.0,5127,116,13000,7.2,124.0,110.0,148741080.94808495,4920856.228983843
84,Halloween,1978-08-27,True,Horror,English,United States of America,R,Jamie Lee Curtis,John Carpenter,2000.0,4400,0,12000,7.9,318.0,101.0,38546707.1270401,246042.81144919214
85,Jaws 2,1978-06-06,True,Adventure,English,United States of America,PG,Roy Scheider,Jeannot Szwarc,813.0,1520,82,0,5.7,75.0,131.0,84411035.84023619,16402854.09661281
86,Superman,1978-10-05,True,Action,English,United States of America,PG,Marlon Brando,Richard Donner,10000.0,12940,503,0,7.3,169.0,188.0,110077928.31952758,45107848.76568522
87,The Wiz,1978-07-17,True,Adventure,English,United States of America,G,Lena Horne,Sidney Lumet,738.0,1458,0,0,5.2,32.0,118.0,10661855.162798326,19683424.91593537
88,Alien,1979-03-10,True,Horror,English,United Kingdom,R,Tom Skerritt,Ridley Scott,1000.0,2524,0,23000,8.5,392.0,116.0,87866807.7287154,12250125.285372237
89,Apocalypse Now,1979-08-09,True,Drama,English,United States of America,R,Harrison Ford,Francis Ford Coppola,11000.0,25313,0,19000,8.5,261.0,289.0,64627245.14065447,25834495.202165175
90,Escape from Alcatraz,1979-05-05,True,Biography,English,United States of America,PG,Clint Eastwood,Don Siegel,16000.0,17568,152,0,7.6,53.0,112.0,29935208.726318378,6561141.638645124
91,Moonraker,1979-09-23,True,Action,English,United Kingdom,PG,Desmond Llewelyn,Lewis Gilbert,244.0,1008,43,0,6.3,121.0,126.0,69825714.12662175,37864023.60933237
92,Star Trek: The Motion Picture,1979-02-11,True,Adventure,English,United States of America,PG,Leonard Nimoy,Robert Wise,12000.0,16007,338,0,6.4,134.0,143.0,67497744.60756171,28704994.669072416
93,The Rose,1979-08-05,True,Drama,English,United States of America,R,David Keith,Mark Rydell,563.0,1097,43,1000,6.9,32.0,125.0,23948166.9810547,6971212.991060444
94,Airplane!,1980-09-07,True,Comedy,English,United States of America,PG,Peter Graves,Jim Abrahams,628.0,2726,104,16000,7.8,134.0,88.0,68399901.58287542,2870499.4669072414
95,Caddyshack,1980-10-13,True,Comedy,English,United States of America,R,Bill Murray,Harold Ramis,13000.0,14921,11000,0,7.4,71.0,98.0,32641679.65225949,4920856.228983843
96,Can't Stop the Music,1980-10-11,True,Biography,English,United States of America,PG,Steve Guttenberg,Nancy Walker,801.0,1462,42,1000,4.5,26.0,124.0,1640285.409661281,16402854.09661281
97,Dressed to Kill,1980-06-16,True,Mystery,English,United States of America,NC-17,Angie Dickinson,Brian De Palma,754.0,2442,0,0,7.1,121.0,104.0,26161732.1413926,5330927.581399163
98,Heaven's Gate,1980-10-02,True,Adventure,English,United States of America,R,Jeff Bridges,Michael Cimino,12000.0,14255,517,1000,6.8,102.0,325.0,1230214.0572459607,36086279.01254818
99,Ordinary People,1980-02-21,True,Drama,English,United States of America,R,Adam Baldwin,Robert Redford,2000.0,5122,0,0,7.8,62.0,124.0,44943820.2247191,4920856.228983843
100,Private Benjamin,1980-10-07,True,Comedy,English,United States of America,R,Eileen Brennan,Howard Zieff,1000.0,2419,6,855,6.1,25.0,109.0,57245960.7971787,8201427.048306405
101,Raging Bull,1980-07-28,False,Biography,English,United States of America,R,Robert De Niro,Martin Scorsese,22000.0,23008,17000,0,8.3,151.0,121.0,37111.45739358648,14762568.686951527
102,Raise the Titanic,1980-09-16,True,Action,English,United Kingdom,PG,M. Emmet Walsh,Jerry Jameson,521.0,1883,5,328,4.7,32.0,119.0,7795534.272509606,40091319.11576369
103,Star Wars: Episode V - The Empire Strikes Back,1980-04-20,True,Action,English,United States of America,PG,Harrison Ford,Irvin Kershner,11000.0,12643,883,17000,8.8,223.0,127.0,237971582.8754203,14762568.686951527
104,Superman II,1980-10-13,True,Action,English,United States of America,PG,Margot Kidder,Richard Lester,593.0,2908,44,0,6.8,121.0,116.0,88739440.66267529,44287706.060854584
105,The Blues Brothers,1980-08-17,True,Action,English,United States of America,R,John Belushi,John Landis,1000.0,2566,644,14000,7.9,125.0,148.0,44451734.601820715,22143853.030427292
106,The Fog,1980-09-08,True,Fantasy,English,United States of America,R,Jamie Lee Curtis,John Carpenter,2000.0,4877,0,7000,6.8,212.0,89.0,17533010.74386943,820142.7048306405
107,Chariots of Fire,1981-07-08,True,Biography,English,United Kingdom,PG,Alice Krige,Hugh Hudson,368.0,1651,46,0,7.2,90.0,125.0,65482487.88908068,6125062.642686118
108,Das Boot,1981-03-07,True,Adventure,German,Germany,R,JÃ¼rgen Prochnow,Wolfgang Petersen,362.0,469,249,11000,8.4,96.0,293.0,11433134.0,14000000.0
109,Dragonslayer,1981-04-29,True,Action,English,United States of America,PG,Ian McDiarmid,Matthew Robbins,1000.0,1263,25,0,6.7,60.0,108.0,4920856.228983843,14762568.686951527
110,Escape from New York,1981-09-28,True,Action,English,United Kingdom,R,Donald Pleasence,John Carpenter,742.0,2270,0,0,7.2,201.0,106.0,28113703.43560332,6681886.519293947
111,For Your Eyes Only,1981-03-18,True,Action,English,United Kingdom,PG,Julian Glover,John Glen,844.0,2118,46,2000,6.8,112.0,127.0,69380255.02533549,31182137.090038422
112,Friday the 13th Part 2,1981-09-01,True,Horror,English,United States of America,R,Betsy Palmer,Steve Miner,309.0,707,49,0,6.1,242.0,87.0,15664725.662265232,1025178.3810383006
113,Mad Max 2: The Road Warrior,1981-11-09,False,Action,English,Australia,R,Vernon Wells,George Miller,745.0,1396,750,0,7.6,177.0,87.0,5613199.700729472,1246960.5336991083
114,Porky's,1981-07-07,True,Comedy,English,Canada,R,Art Hindle,Bob Clark,110.0,582,84,0,6.2,75.0,94.0,67386305.56974961,2554931.0168625447
115,Raiders of the Lost Ark,1981-05-16,True,Action,English,United States of America,PG,Harrison Ford,Steven Spielberg,11000.0,12906,14000,16000,8.5,234.0,115.0,198781640.28540963,14762568.686951527
116,Roar,1981-10-08,True,Adventure,English,United States of America,PG,Tippi Hedren,Noel Marshall,634.0,1262,4,0,6.4,50.0,102.0,1640285.409661281,13942425.982120888
117,Sphinx,1981-05-13,True,Adventure,English,United States of America,PG,Frank Langella,Franklin J. Schaffner,902.0,2079,76,106,5.2,2.0,118.0,656114.1638645123,11481997.867628966
118,Stripes,1981-09-11,True,Action,English,United States of America,R,Bill Murray,Ivan Reitman,13000.0,27378,425,0,6.9,52.0,117.0,69958172.72205363,8201427.048306405
119,The Beyond,1981-07-12,False,Horror,Italian,Italy,NC-17,Catriona MacColl,Lucio Fulci,48.0,123,385,2000,6.9,203.0,82.0,126387.0,400000.0
120,The Howling,1981-06-15,True,Horror,English,United States of America,R,Patrick Macnee,Joe Dante,1000.0,4438,287,0,6.6,161.0,91.0,14751086.689083898,820142.7048306405
121,The Legend of the Lone Ranger,1981-01-28,True,Action,English,United States of America,PG,Jason Robards,William A. Fraker,372.0,927,28,346,5.0,25.0,98.0,6561141.638645124,14762568.686951527
122,Time Bandits,1981-04-04,True,Adventure,English,United Kingdom,PG,Shelley Duvall,Terry Gilliam,629.0,2730,0,0,7.0,139.0,103.0,47180355.253633276,5568238.76607829
123,Under the Rainbow,1981-09-07,True,Comedy,English,United States of America,PG,Mako,Steve Rash,691.0,1761,15,501,5.4,13.0,98.0,6971212.991060444,16402854.09661281
124,Blade Runner,1982-09-12,True,Sci-Fi,English,United States of America,R,Harrison Ford,Ridley Scott,11000.0,13877,0,34000,8.2,302.0,117.0,22143853.030427292,22963995.73525793
125,Conan the Barbarian,1982-12-08,True,Adventure,English,United States of America,R,William Smith,John Milius,919.0,2024,468,0,6.9,166.0,129.0,30810661.855162796,16402854.09661281
126,Diner,1982-04-27,True,Comedy,English,United States of America,R,Steve Guttenberg,Barry Levinson,801.0,2943,272,0,7.2,42.0,110.0,11564012.13811203,4100713.5241532023
127,E.T. the Extra-Terrestrial,1982-10-24,True,Family,English,United States of America,PG,Henry Thomas,Steven Spielberg,861.0,2811,14000,34000,7.9,215.0,120.0,356720625.76888376,8611498.400721725
128,Firefox,1982-07-07,True,Action,English,United States of America,PG,Clint Eastwood,Clint Eastwood,16000.0,16805,16000,0,5.9,43.0,136.0,38300664.31559091,17222996.80144345
129,Friday the 13th Part III,1982-01-23,True,Horror,English,United States of America,R,Richard Brooker,Steve Miner,72.0,174,49,0,5.7,235.0,91.0,29689165.914869186,3280570.819322562
130,Halloween III: Season of the Witch,1982-06-30,True,Horror,English,United States of America,R,Tom Atkins,Tommy Lee Wallace,381.0,684,24,0,4.6,162.0,98.0,11810054.949561222,2050356.7620766012
131,Megaforce,1982-02-03,True,Action,English,United States of America,PG,Barry Bostwick,Hal Needham,456.0,1356,379,0,3.5,40.0,99.0,4374360.698761584,16402854.09661281
132,Poltergeist,1982-07-16,True,Fantasy,English,United States of America,PG,Heather O'Rourke,Tobe Hooper,887.0,3876,365,11000,7.4,223.0,120.0,62822931.19002706,8775526.941687852
133,Star Trek II: The Wrath of Khan,1982-05-12,True,Action,English,United States of America,PG,Leonard Nimoy,Nicholas Meyer,12000.0,16539,120,0,7.7,148.0,116.0,64709259.41113753,9021569.753137045
134,The Best Little Whorehouse in Texas,1982-02-12,True,Comedy,English,United States of America,R,Dolly Parton,Colin Higgins,1000.0,3688,19,0,5.8,11.0,114.0,57163946.52669564,28704994.669072416
135,The Thing,1982-02-24,True,Horror,English,United States of America,R,Wilford Brimley,John Carpenter,957.0,1757,0,23000,8.2,297.0,109.0,11303894.037562534,12302140.572459606
136,The Verdict,1982-11-02,True,Drama,English,United States of America,R,Charlotte Rampling,Sidney Lumet,844.0,2330,0,0,7.8,79.0,129.0,44287706.060854584,13122283.277290247
137,Tootsie,1982-10-19,True,Comedy,English,United States of America,PG,Bill Murray,Sydney Pollack,13000.0,14701,521,0,7.4,94.0,116.0,145329287.29598948,18043139.50627409
138,Flashdance,1983-01-01,True,Drama,English,United States of America,R,Michael Nouri,Adrian Lyne,225.0,791,213,0,6.1,51.0,95.0,77831542.68842778,3280570.819322562
139,Lone Wolf McQuade,1983-07-20,True,Action,English,United States of America,PG,David Carradine,Steve Carver,926.0,2383,8,0,6.3,29.0,107.0,10005740.998933813,4100713.5241532023
140,National Lampoon's Vacation,1983-06-27,True,Adventure,English,United States of America,R,Beverly D'Angelo,Harold Ramis,816.0,3617,11000,0,7.4,55.0,98.0,50356762.07660133,12302140.572459606
141,Never Say Never Again,1983-04-23,True,Action,English,United Kingdom,PG,Bernie Casey,Irvin Kershner,180.0,762,883,0,6.2,89.0,121.0,61807450.30346901,40091319.11576369
142,Octopussy,1983-01-19,True,Action,English,United Kingdom,PG,Louis Jourdan,John Glen,594.0,1898,46,0,6.6,106.0,131.0,75616682.44334318,30625313.21343059
143,Scarface,1983-05-03,True,Crime,English,United States of America,R,Al Pacino,Brian De Palma,14000.0,16464,0,19000,8.3,147.0,142.0,36660378.905929625,20503567.62076601
144,Star Wars: Episode VI - Return of the Jedi,1983-12-24,True,Action,English,United States of America,PG,Harrison Ford,Richard Marquand,11000.0,13649,37,14000,8.4,197.0,134.0,253526949.069138,26654637.906995814
145,Superman III,1983-08-18,True,Action,English,United Kingdom,PG,Margot Kidder,Richard Lester,593.0,2329,44,0,4.9,95.0,125.0,66818865.192939475,43432262.37541066
146,The Outsiders,1983-02-21,True,Crime,English,United States of America,PG-13,Tom Cruise,Francis Ford Coppola,10000.0,12097,0,10000,7.2,60.0,114.0,20995653.243664395,8201427.048306405
147,The Right Stuff,1983-03-23,True,Adventure,English,United States of America,PG,Dennis Quaid,Philip Kaufman,2000.0,6341,133,0,7.9,80.0,193.0,17633068.15385877,22143853.030427292
148,Twilight Zone: The Movie,1983-12-01,True,Fantasy,English,United States of America,PG,Albert Brooks,Joe Dante,745.0,1954,287,0,6.5,78.0,101.0,24194209.792503893,8201427.048306405
149,WarGames,1983-06-28,True,Sci-Fi,English,United States of America,PG,Matthew Broderick,John Badham,2000.0,4537,139,0,7.1,84.0,114.0,65257114.7379644,9841712.457967686
150,Yentl,1983-10-30,True,Drama,English,United Kingdom,PG,Miriam Margolyes,Barbra Streisand,405.0,914,0,0,6.6,16.0,132.0,33854891.697756,13363773.038587894
151,A Nightmare on Elm Street,1984-04-13,True,Horror,English,United States of America,NC-17,Johnny Depp,Wes Craven,40000.0,42918,0,10000,7.5,256.0,101.0,21737882.391536124,1476256.8686951527
